ID;Tamb;URamb;Taqv;URaqv;UEaqv;Aqq
7803;21.1;71.14;23.1;62.98;13.13;2.16
7804;20.54;73.91;22.54;65.4;13.58;2.74
7805;19.93;77.06;21.93;68.15;14.12;3.46
7806;19.55;79.03;21.55;69.86;14.46;3.86
7807;19.25;81.08;21.25;71.66;14.83;4.26
7808;18.88;83.83;20.88;74.06;15.33;4.76
7809;18.53;87.58;20.53;77.35;16.04;5.39
7810;18.22;91.87;20.22;81.11;16.93;6.18
7811;17.96;96.24;19.96;84.95;17.94;6.83
7812;17.7;99.41;19.7;87.73;18.8;7.36
7813;17.69;99.89;19.69;88.15;18.93;7.4
7814;17.55;99.9;19.55;88.15;18.95;7.41
7815;17.26;100;19.26;88.12;18.98;7.43
7816;16.79;100;18.79;88.08;19.02;7.46
7817;16.75;100;18.75;88.08;19.02;7.46
7818;16.83;100;18.83;88.08;19.02;7.46
7819;16.67;100;18.67;88.07;19.03;7.47
7820;16.29;100;18.29;88.04;19.07;7.49
7821;15.56;100;17.56;87.97;19.14;7.54
7822;15.65;100;17.65;87.98;19.13;7.53
7823;15.2;100;17.2;87.94;19.17;7.56
7824;14.96;100;16.96;87.92;19.19;7.58
7825;14.94;100;16.94;87.92;19.2;7.58
7826;14.61;100;16.61;87.89;19.23;7.6
7827;14.46;100;16.46;87.88;19.24;7.61
7828;14.43;100;16.43;87.88;19.24;7.61
7829;14.12;100;16.12;87.85;19.27;7.63
7830;14.08;100;16.08;87.84;19.28;7.63
7831;13.9;100;15.9;87.83;19.3;7.64
7832;13.59;100;15.59;87.8;19.33;7.66
7833;13.46;100;15.46;87.79;19.34;7.67
7834;13.37;100;15.37;87.78;19.35;7.68
7835;13.33;100;15.33;87.78;19.35;7.68
7836;13.2;100;15.2;87.77;19.37;7.69
7837;12.96;100;14.96;87.75;19.39;7.7
7838;13.07;100;15.07;87.76;19.38;7.7
7839;13.17;100;15.17;87.76;19.37;7.69
7840;13.52;100;15.52;87.8;19.33;7.67
7841;13.32;100;15.32;87.78;19.35;7.68
7842;13.2;100;15.2;87.77;19.37;7.69
7843;13.22;100;15.22;87.77;19.36;7.69
7844;13.75;100;15.75;87.82;19.31;7.65
7845;14.08;100;16.08;87.85;19.28;7.63
7846;14.3;100;16.3;87.86;19.26;7.62
7847;14.34;100;16.34;87.87;19.25;7.62
7848;14.14;100;16.14;87.85;19.27;7.63
7849;14.19;100;16.19;87.85;19.27;7.62
7850;14.18;100;16.18;87.85;19.27;7.62
7851;14.25;100;16.25;87.86;19.26;7.62
7852;14.32;100;16.32;87.87;19.25;7.62
